Team,Flight,Price,Departure Time,Arrival Time
MIN,Delta,06:15 AM,07:25 AM,898
MIN,DeltaOperated by SkyWest DBA Delta Connection,10:55 AM,12:11 PM,898
MIN,DeltaOperated by SkyWest DBA Delta Connection,02:40 PM,03:58 PM,898
MIN,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,06:26 PM,898
MIN,AmericanOperated by Piedmont Airlines as American Eagle,02:54 PM,07:23 PM,996
MIN,UnitedOperated by Republic Airways DBA United Express,05:23 PM,09:55 PM,996
MIN,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",10:25 AM,02:20 PM,1194
MIN,UnitedOperated by Republic Airways DBA United Express,06:10 AM,10:40 AM,1244
CHI,UnitedOperated by Republic Airways DBA United Express,05:00 AM,06:13 AM,853
CHI,United,06:10 AM,07:23 AM,853
CHI,AmericanOperated by Piedmont Airlines as American Eagle,10:25 AM,11:36 AM,853
CHI,AmericanOperated by Piedmont Airlines as American Eagle,02:54 PM,04:05 PM,853
CHI,UnitedOperated by Republic Airways DBA United Express,05:23 PM,06:35 PM,853
CHI,UnitedOperated by Republic Airways DBA United Express,08:10 AM,09:23 AM,892
CHI,UnitedOperated by Republic Airways DBA United Express,03:55 PM,05:07 PM,1116
CHI,UnitedOperated by Republic Airways DBA United Express,06:16 AM,06:42 PM,1509
CHI,United,02:45 PM,09:32 PM,2014
GB,"UnitedOperated by Republic Airways DBA United Express, SkyWest DBA United Express",03:55 PM,07:00 PM,2086
GB,"UnitedOperated by Republic Airways DBA United Express, Gojet Airlines DBA United Express",05:23 PM,08:52 PM,2086
GB,"AmericanOperated by Piedmont Airlines as American Eagle, Air Wisconsin as American Eagle",10:25 AM,04:44 PM,2325
GB,AmericanOperated by Air Wisconsin as American Eagle,06:44 AM,04:44 PM,2286
GB,"AmericanOperated by Piedmont Airlines as American Eagle, Air Wisconsin as American Eagle",02:54 PM,09:52 PM,2325
DET,Delta,07:00 AM,09:19 AM,1098
DET,DeltaOperated by Endeavor Air DBA Delta Connection,10:40 AM,01:01 PM,1098
DET,DeltaOperated by Republic Airways Delta Connection,05:04 PM,07:31 PM,1296
DET,"AmericanOperated by Piedmont Airlines as American Eagle, Envoy Air as American Eagle",10:25 AM,05:09 PM,1136
DET,"UnitedOperated by Republic Airways DBA United Express, Republic Airways DBA United Express",05:23 PM,10:15 PM,1136
DET,"AmericanOperated by Piedmont Airlines as American Eagle, SkyWest Airlines as American Eagle",02:54 PM,08:43 PM,1236
DET,"UnitedOperated by Republic Airways DBA United Express, SkyWest DBA United Express",03:55 PM,08:24 PM,1237
IND,"UnitedOperated by Republic Airways DBA United Express, Republic Airways DBA United Express",05:23 PM,09:58 PM,589
IND,"DeltaOperated by Endeavor Air DBA Delta Connection, Republic Airways Delta Connection",10:40 AM,05:18 PM,846
IND,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",02:54 PM,07:55 PM,877
IND,UnitedOperated by Republic Airways DBA United Express,06:16 AM,01:50 PM,807
IND,"UnitedOperated by Republic Airways DBA United Express, Republic Airways DBA United Express",08:10 AM,03:09 PM,807
IND,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,11:32 PM,846
IND,"AmericanOperated by Piedmont Airlines as American Eagle, Piedmont Airlines as American Eagle",10:25 AM,02:29 PM,980
IND,DeltaOperated by Republic Airways Delta Connection,07:00 AM,11:19 AM,1066
IND,"UnitedOperated by Republic Airways DBA United Express, Republic Airways DBA United Express",05:00 AM,09:28 AM,1249
JAX,American,06:44 AM,01:26 PM,747
JAX,DeltaOperated by Endeavor Air DBA Delta Connection,05:47 AM,11:48 AM,766
JAX,DeltaOperated by Endeavor Air DBA Delta Connection,05:59 PM,11:56 PM,766
JAX,"AmericanOperated by Piedmont Airlines as American Eagle, Envoy Air as American Eagle",02:54 PM,10:41 PM,747
JAX,United,06:16 AM,02:39 PM,803
JAX,AmericanOperated by PSA Airlines as American Eagle,05:18 PM,12:33 AM +1,806
JAX,UnitedOperated by Republic Airways DBA United Express,03:55 PM,09:58 PM,834
JAX,AmericanOperated by PSA Airlines as American Eagle,10:53 AM,05:14 PM,977
JAX,Delta,11:17 AM,04:23 PM,1036
TEN,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,11:27 PM,656
TEN,"UnitedOperated by Republic Airways DBA United Express, Republic Airways DBA United Express",05:00 AM,09:22 AM,703
TEN,UnitedOperated by SkyWest DBA United Express,06:10 AM,12:24 PM,703
TEN,UnitedOperated by Republic Airways DBA United Express,05:23 PM,10:00 PM,703
TEN,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",02:54 PM,07:38 PM,756
TEN,Delta,07:00 AM,01:43 PM,826
TEN,"UnitedOperated by Republic Airways DBA United Express, SkyWest DBA United Express",08:10 AM,12:24 PM,927
TEN,DeltaOperated by Endeavor Air DBA Delta Connection,05:47 AM,10:06 AM,986
TEN,Delta,11:17 AM,03:32 PM,1076
TEN,"AmericanOperated by PSA Airlines as American Eagle, PSA Airlines as American Eagle",10:53 AM,03:23 PM,1126
TEN,"UnitedOperated by Republic Airways DBA United Express, SkyWest DBA United Express",03:55 PM,07:44 PM,1290
NE,United,06:16 AM,12:11 PM,1220
NE,Delta,07:00 AM,12:32 PM,1356
NE,DeltaOperated by Endeavor Air DBA Delta Connection,10:40 AM,04:25 PM,1356
NE,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",10:25 AM,04:55 PM,1456
NE,UnitedOperated by Republic Airways DBA United Express,05:00 AM,11:12 AM,1310
NE,American,06:44 AM,10:48 PM,1326
NE,DeltaOperated by Republic Airways Delta Connection,05:04 PM,11:51 PM,1356
NE,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,11:59 PM,1356
NE,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",04:55 PM,10:46 PM,1456
BUF,UnitedOperated by Gojet Airlines DBA United Express,06:16 AM,02:03 PM,566
BUF,"AmericanOperated by Piedmont Airlines as American Eagle, Envoy Air as American Eagle",02:54 PM,09:44 PM,686
BUF,DeltaOperated by Endeavor Air DBA Delta Connection,05:59 PM,12:40 AM +1,826
BUF,AmericanOperated by PSA Airlines as American Eagle,05:18 PM,12:39 AM +1,786
BUF,DeltaOperated by SkyWest DBA Delta Connection,07:00 AM,11:15 AM,966
BUF,"DeltaOperated by Endeavor Air DBA Delta Connection, Endeavor Air DBA Delta Connection",10:40 AM,05:09 PM,966
BUF,DeltaOperated by Republic Airways Delta Connection,05:04 PM,11:03 PM,966
BUF,UnitedOperated by Republic Airways DBA United Express,03:55 PM,09:01 PM,1006
BUF,"AmericanOperated by Piedmont Airlines as American Eagle, Piedmont Airlines as American Eagle",04:55 PM,11:05 PM,1116
MIA,United,06:16 AM,02:40 PM,967
MIA,DeltaOperated by Endeavor Air DBA Delta Connection,05:59 PM,12:54 AM +1,1020
MIA,UnitedOperated by Republic Airways DBA United Express,05:00 AM,11:46 AM,1054
MIA,UnitedOperated by Republic Airways DBA United Express,03:55 PM,10:59 PM,1077
MIA,AmericanOperated by Piedmont Airlines as American Eagle,04:55 PM,11:59 PM,1142
MIA,UnitedOperated by Republic Airways DBA United Express,08:10 AM,03:01 PM,1185
MIA,DeltaOperated by Endeavor Air DBA Delta Connection,05:47 AM,11:44 AM,1210
MIA,DeltaOperated by Republic Airways Delta Connection,05:04 PM,11:51 PM,1210
MIA,American,06:44 AM,01:10 PM,1718
NYJ,AmericanOperated by Piedmont Airlines as American Eagle,02:54 PM,07:57 PM,1313
NYJ,"DeltaOperated by Republic Airways Delta Connection, Endeavor Air DBA Delta Connection",05:04 PM,10:45 PM,1336
NYJ,DeltaOperated by Endeavor Air DBA Delta Connection,07:00 AM,12:05 PM,1534
NYJ,American,06:44 AM,08:00 PM,1118
NYJ,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,11:49 PM,1436
NYJ,AmericanOperated by PSA Airlines as American Eagle,10:53 AM,06:08 PM,1493
NYJ,"DeltaOperated by Endeavor Air DBA Delta Connection, Endeavor Air DBA Delta Connection",10:40 AM,06:00 PM,1534
NYJ,DeltaOperated by SkyWest DBA Delta Connection,10:55 AM,04:55 PM,1596
BAL,UnitedOperated by Republic Airways DBA United Express,05:23 PM,11:09 PM,635
BAL,Delta,07:00 AM,11:44 AM,826
BAL,DeltaOperated by Endeavor Air DBA Delta Connection,05:06 PM,11:55 PM,826
