Team,Airline,Departure_Time,Arrival_Time,Price
MIN,UnitedOperated by Republic Airways DBA United Express,09:00 AM,10:40 AM,639
MIN,DeltaOperated by SkyWest DBA Delta Connection,12:35 PM,02:11 PM,639
MIN,AmericanOperated by Republic Airways as American Eagle,12:40 PM,02:20 PM,639
MIN,Frontier,04:21 PM,11:56 PM,387
MIN,DeltaOperated by SkyWest DBA Delta Connection,06:20 AM,08:06 AM,639
MIN,DeltaOperated by SkyWest DBA Delta Connection,10:05 AM,11:57 AM,639
MIN,UnitedOperated by SkyWest DBA United Express,12:45 PM,02:23 PM,639
MIN,United,02:30 PM,04:04 PM,639
MIN,DeltaOperated by SkyWest DBA Delta Connection,03:18 PM,04:54 PM,639
MIN,UnitedOperated by Republic Airways DBA United Express,04:15 PM,05:53 PM,639
MIN,DeltaOperated by SkyWest DBA Delta Connection,05:50 PM,07:45 PM,639
MIN,American,05:54 PM,07:23 PM,639
MIN,United,08:20 PM,09:55 PM,639
MIN,American,09:10 PM,10:44 PM,639
MIN,United,09:27 PM,11:00 PM,639
MIN,Frontier,10:49 AM,10:27 AM +1,726
MIN,DeltaOperated by SkyWest DBA Delta Connection,07:00 AM,01:35 PM,747
MIN,American,11:56 AM,06:03 PM,747
MIN,AmericanOperated by Republic Airways as American Eagle,09:50 AM,11:32 AM,855
MIN,American,06:39 PM,12:10 AM +1,963
GB,UnitedOperated by Gojet Airlines DBA United Express,02:05 PM,03:11 PM,1859
GB,AmericanOperated by Air Wisconsin as American Eagle,03:40 PM,04:44 PM,1859
GB,UnitedOperated by SkyWest DBA United Express,05:53 PM,07:00 PM,1859
GB,UnitedOperated by Gojet Airlines DBA United Express,07:35 PM,08:52 PM,1859
GB,AmericanOperated by Air Wisconsin as American Eagle,08:30 PM,09:52 PM,1859
GB,DeltaOperated by SkyWest DBA Delta Connection,09:55 AM,01:25 PM,1878
GB,AmericanOperated by Air Wisconsin as American Eagle,09:40 AM,10:50 AM,2260
DET,AmericanOperated by Envoy Air as American Eagle,08:18 AM,10:53 AM,728
DET,AmericanOperated by Envoy Air as American Eagle,02:50 PM,05:09 PM,728
DET,Delta,09:55 AM,12:14 PM,818
DET,Frontier,06:45 AM,03:45 PM,576
DET,Frontier,01:50 PM,04:55 AM +1,576
DET,Southwest,02:45 PM,12:30 AM +1,766
DET,DeltaOperated by SkyWest DBA Delta Connection,07:00 AM,09:30 AM,818
DET,DeltaOperated by SkyWest DBA Delta Connection,01:50 PM,04:21 PM,818
DET,Delta,05:30 PM,07:50 PM,818
