Team,Name,Price,Rating,Room_Type
BUF,Garden Place Hotel,288,7.5,4
BUF,"Holiday Inn Express & Suites Buffalo Downtown, an IHG Hotel",517,7.8,2
BUF,Hampton Inn & Suites Buffalo/Downtown,745,8.0,4
BUF,Residence Inn by Marriott Buffalo Downtown,1328,8.3,5
BUF,Best Western On The Avenue,648,8.2,4
BUF,Comfort Inn & Suites Buffalo Airport,398,7.8,4
BUF,Wyndham Garden Buffalo Downtown,597,8.3,4
BUF,"Staybridge Suites Buffalo, an IHG Hotel",882,8.5,3
BUF,Best Western Buffalo Inn & Suites,361,8.3,2
TB,The Barrymore Hotel Tampa Riverwalk,421,7.8,4
TB,Home2 Suites By Hilton Tampa Downtown Channel District,472,8.9,2
TB,Courtyard by Marriott Tampa Northwest/Veterans Expressway,363,8.9,2
TB,"Home2 Suites By Hilton Tampa Westshore Airport, Fl",495,8.6,4
TB,Embassy Suites by Hilton Tampa Airport Westshore,455,7.8,5
TB,DoubleTree by Hilton Tampa Rocky Point Waterfront,466,7.8,4
TB,Hampton Inn Tampa Downtown Channel District,520,9.0,4
TB,Hampton Inn & Suites Tampa Ybor City Downtown,458,8.5,4
TB,Fairfield Inn and Suites by Marriott Tampa North,336,7.8,1
TB,Ramada by Wyndham Temple Terrace/Tampa North,268,7.2,2
TB,"Holiday Inn Express & Suites - Tampa East - Ybor City, an IHG Hotel",385,8.8,4
TB,Hyatt House Tampa Downtown,598,8.7,4
TB,Hampton Inn & Suites Tampa Riverview Brandon,436,8.5,4
TB,SpringHill Suites Tampa North/Tampa Palms,380,8.6,4
TB,TownePlace Suites by Marriott Tampa Casino Area,474,8.7,4
TB,Four Points by Sheraton Suites Tampa Airport Westshore,529,8.1,5
TB,Home2 Suites By Hilton Tampa USF Near Busch Gardens,495,8.8,4
TB,Comfort Suites Tampa - Brandon,385,7.5,5
TB,Courtyard Tampa Downtown,593,7.9,4
TB,Hampton Inn & Suites Tampa Airport Avion Park Westshore,654,8.6,4
TB,Residence Inn Tampa Downtown,551,7.8,3
TB,"Country Inn & Suites by Radisson, Tampa Airport North, FL",448,7.3,4
TB,TownePlace Suites Tampa Westshore/Airport,508,7.9,2
TB,Hampton Inn & Suites by Hilton Tampa Busch Gardens Area,408,8.6,4
TB,Comfort Suites Tampa Airport North,453,8.1,3
PHI,Hilton Garden Inn Philadelphia Center City,253,8.0,4
PHI,Motto by Hilton Philadelphia Rittenhouse Square,243,8.3,2
PHI,"Independence Park Hotel, Premier Collection",280,8.9,2
PHI,"Holiday Inn Express Philadelphia-Midtown, an IHG Hotel",338,8.2,4
PHI,"Holiday Inn Express Philadelphia Penn's Landing, an IHG Hotel",260,8.1,2
PHI,Sosuite at Independence Lofts - Callowhill,231,8.1,2
PHI,Sonesta Select Philadelphia Airport,270,7.9,4
PHI,Sonder The Witherspoon,290,8.4,3
PHI,Hampton Inn Philadelphia Center City-Convention Center,290,7.6,4
PHI,The Arco powered by Sonder,217,8.0,2
PHI,Sosuite at French Quarters - Rittenhouse Square,276,7.9,2
PHI,Fairfield Inn Philadelphia Airport,219,7.7,4
PHI,Home2 Suites by Hilton Philadelphia Convention Center,308,7.7,2
PHI,Locale North Broad - Philadelphia,240,8.0,2
PHI,Morris House Hotel,318,9.3,2
PHI,Sosuite at West Lofts - West Philadelphia,263,7.4,4
PHI,Aloft Philadelphia Airport,277,7.7,4
