Team,Name,Price,Rating,Room_Type
MIN,"Holiday Inn Express Hotel & Suites Minneapolis-Downtown Convention Center, an IHG Hotel",187,8.5,1 queen bed
MIN,Hilton Garden Inn Minneapolis - University Area,194,7.6,2 queen beds
MIN,Hilton Garden Inn Minneapolis Downtown,177,7.8,2 queen beds
MIN,Home2 Suites By Hilton Minneapolis University Area,206,8.6,2 queen beds
MIN,Hampton Inn & Suites - Minneapolis/Downtown,224,8.8,2 queen beds
MIN,Home2 Suites by Hilton Minneapolis Downtown,194,8.0,1 queen bed
MIN,Courtyard by Marriott Minneapolis Downtown,250,8.5,2 queen beds
MIN,TownePlace Suites by Marriott Minneapolis Downtown/North Loop,211,8.1,Entire studio•1 bathroom•1 kitchen•398 ft²1 queen bed
MIN,Cambria Hotel Minneapolis Downtown,216,8.4,2 queen beds
MIN,Hyatt Place Minneapolis/Downtown,281,8.0,2 queen beds
MIN,Radisson Red Minneapolis Downtown,266,7.9,Entire studio•1 bathroom•323 ft²2 queen beds
MIN,Sonder at SECOND & SECOND,233,8.7,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•592 ft²2 beds (1 sofa bed, 1 queen)"
MIN,Tru By Hilton Minneapolis Downtown,215,7.5,2 queen beds
MIN,Best Western Plus The Normandy Inn & Suites,253,8.4,2 queen beds
MIN,Aloft Minneapolis,286,8.0,2 queen beds
MIN,Element Minneapolis Downtown North Loop,356,9.1,1 queen bed
MIN,Delta Hotels by Marriott Minneapolis Northeast,202,8.4,2 queen beds
MIN,"Hampton Inn and Suites Minneapolis University Area, MN",215,8.8,2 queen beds
MIN,"InterContinental Minneapolis - St. Paul Airport, an IHG Hotel",358,8.8,2 queen beds
MIN,Nicollet Island Inn,760,8.6,2 queen beds
MIN,AC Hotel by Marriott Minneapolis West End,368,9.0,2 queen beds
CHI,Aloft Chicago Mag Mile,219,8.2,2 queen beds
CHI,"Crowne Plaza - Chicago West Loop, an IHG Hotel",220,8.0,Multiple bed types
CHI,Hampton Inn Chicago McCormick Place,197,8.4,1 queen bed
CHI,Hilton Garden Inn Chicago McCormick Place,174,8.1,2 queen beds
CHI,Home2 Suites By Hilton Chicago McCormick Place,173,8.6,1 queen bed
CHI,Hyatt House Chicago West Loop-Fulton Market,230,8.4,2 queen beds
CHI,La Quinta by Wyndham Chicago Downtown,207,8.0,1 queen bed
CHI,Hyatt Place Chicago/Downtown - The Loop,278,8.2,"2 beds (1 sofa bed, 1 queen)"
CHI,Hampton Inn & Suites Chicago-Downtown,216,8.5,2 queen beds
CHI,SpringHill Suites by Marriott Chicago Chinatown,232,9.1,"Private suite3 beds (1 sofa bed, 2 queens)"
CHI,Best Western Grant Park Hotel,185,7.5,1 queen bed
CHI,Home2 Suites By Hilton Chicago River North,211,8.2,1 queen bed
CHI,Hampton Inn Majestic Chicago Theatre District,211,8.5,1 queen bed
CHI,Hyatt Place Chicago Wicker Park,238,9.0,"3 beds (1 sofa bed, 2 queens)"
CHI,Hampton Inn Chicago Downtown/Magnificent Mile,171,7.9,2 queen beds
CHI,"voco Chicago Downtown, an IHG Hotel",265,7.6,2 queen beds
CHI,Hilton Garden Inn Chicago Downtown South Loop,219,8.2,2 queen beds
CHI,Chicago South Loop Hotel,157,6.5,1 queen bed
CHI,The Whitehall Hotel - BW Premier Collection,203,7.3,1 queen bed
CHI,Hilton Garden Inn Chicago Downtown/Magnificent Mile,186,7.4,2 queen beds
CHI,Hampton Inn by Hilton Chicago Downtown West Loop,287,8.6,2 queen beds
CHI,Homewood Suites by Hilton Chicago Downtown,386,8.2,Private suite•2 bedrooms•495 ft²2 queen beds
CHI,Homewood Suites By Hilton Chicago Downtown South Loop,292,8.2,Private suite•2 bedrooms•495 ft²2 queen beds
CHI,Aloft Chicago Downtown River North,251,8.5,2 queen beds
CHI,"Holiday Inn Hotel & Suites Chicago - Downtown, an IHG Hotel",238,7.9,2 queen beds
DET,Sonder Gabriel Richard,489,8.6,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•635 ft²2 beds (1 sofa bed, 1 queen)"
DET,Hilton Garden Inn Detroit Downtown,841,7.9,2 queen beds
DET,Element Detroit at the Metropolitan,1228,8.7,Entire studio•1 bathroom•366 ft²2 queen beds
DET,"Hotel Indigo Detroit Downtown, an IHG Hotel",548,7.4,2 queen beds
DET,Courtyard by Marriott Detroit Downtown,692,7.6,1 queen bed
GB,"Country Inn & Suites by Radisson, Green Bay East, WI",525,8.0,2 queen beds
GB,Hampton Inn Green Bay Downtown,798,8.5,2 queen beds
GB,Hotel J Green Bay,708,8.4,2 queen beds
GB,AmericInn by Wyndham Green Bay East,667,8.5,2 queen beds
GB,Spark by Hilton Green Bay,628,7.8,2 queen beds
GB,Best Western Green Bay Inn and Conference Center,832,7.9,2 queen beds
GB,Extended Stay Airport,624,8.0,1 queen bed
GB,Oneida Casino Hotel,1014,8.2,2 queen beds
GB,Hawthorn Extended Stay by Wyndham Green Bay,566,7.4,"Private suite2 beds (1 sofa bed, 1 queen)"
GB,Village Inn Green Bay,498,6.5,2 queen beds
GB,Quality Inn & Suites,658,7.3,2 queen beds
GB,Residence Inn by Marriott Green Bay Downtown,1208,9.1,Private suite1 queen bed
PHI,Hilton Garden Inn Philadelphia Center City,249,8.0,2 queen beds
PHI,Residence Inn by Marriott Philadelphia Center City,313,8.0,Entire studio•1 bathroom•1 kitchen•280 ft²1 queen bed
PHI,Penn's View Hotel Philadelphia,408,8.7,1 queen bed
PHI,"Holiday Inn Express Philadelphia-Midtown, an IHG Hotel",257,8.2,2 queen beds
PHI,Sonder The Witherspoon,237,8.4,"Entire studio•1 bathroom•1 kitchen•506 ft²2 beds (1 sofa bed, 1 queen)"
PHI,Hampton Inn Philadelphia Center City-Convention Center,236,7.6,2 queen beds
PHI,Home2 Suites by Hilton Philadelphia Convention Center,220,7.7,1 queen bed
PHI,Motto by Hilton Philadelphia Rittenhouse Square,262,8.3,1 queen bed
PHI,"Holiday Inn Express Philadelphia Penn's Landing, an IHG Hotel",244,8.1,1 queen bed
PHI,"Independence Park Hotel, Premier Collection",320,8.9,1 queen bed
PHI,Sonesta Select Philadelphia Airport,262,7.9,2 queen beds
PHI,Sosuite at Independence Lofts - Callowhill,236,8.1,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•398 ft²1 queen bed
PHI,Aloft Philadelphia Downtown,275,7.9,1 queen bed
PHI,Sonder Onyx,247,8.6,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•441 ft²2 beds (1 sofa bed, 1 queen)"
PHI,Sonder Ovation,230,8.4,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•527 ft²2 beds (1 sofa bed, 1 queen)"
PHI,The Arco powered by Sonder,217,8.0,2 queen beds
PHI,Fairfield Inn Philadelphia Airport,210,7.7,2 queen beds
PHI,Sosuite at West Lofts - West Philadelphia,222,7.5,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•700 ft²1 queen bed
PHI,Sheraton Philadelphia Downtown,386,8.1,1 queen bed
PHI,"Holiday Inn Philadelphia Arpt-Stadium Area, an IHG Hotel",318,7.3,2 queen beds
PHI,Sonder The Edison,211,8.4,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•441 ft²2 beds (1 sofa bed, 1 queen)"
PHI,Aloft Philadelphia Airport,259,7.7,2 queen beds
PHI,Sosuite at French Quarters - Rittenhouse Square,293,7.9,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•495 ft²1 queen bed
PHI,Sosuite at The Vine - Old City,236,8.2,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•441 ft²1 queen bed
PHI,Locale North Broad - Philadelphia,240,8.0,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•420 ft²1 queen bed
WSH,Hyatt Place Washington DC/Georgetown/West End,258,8.0,"3 beds (1 sofa bed, 2 queens)"
WSH,Hotel Nell - Union Market,210,7.6,1 queen bed
WSH,"2500 Penn, a Placemakr Experience",257,8.1,Entire studio•1 bathroom•323 ft²1 queen bed
WSH,"Hampton Inn & Suites Washington, D.C. - Navy Yard",275,8.3,2 queen beds
WSH,Hilton Garden Inn Washington DC/Georgetown Area,245,8.1,2 queen beds
WSH,Hilton Garden Inn Washington DC Downtown,350,7.9,2 queen beds
WSH,Hyatt Place Washington D.C./National Mall,344,7.8,"3 beds (1 sofa bed, 2 queens)"
WSH,Hotel Hive,238,8.6,1 queen bed
WSH,Embassy Suites by Hilton Washington D.C. Georgetown,337,8.5,Private suite•2 bedrooms•420 ft²2 queen beds
WSH,Hyatt Place Washington DC/White House,326,8.0,2 queen beds
WSH,"Holiday Inn Washington Capitol-National Mall, an IHG Hotel",327,7.9,1 queen bed
WSH,"Courtyard Washington, DC/U.S. Capitol",245,8.1,2 queen beds
WSH,Kellogg Conference Hotel Capitol Hill at Gallaudet University,242,8.1,2 queen beds
WSH,Placemakr Dupont Circle,303,8.0,Entire studio•1 bathroom•291 ft²1 queen bed
WSH,Motto by Hilton Washington DC City Center,289,8.3,1 queen bed
WSH,Homewood Suites by Hilton Washington DC NoMa Union Station,332,8.3,2 queen beds
WSH,"Residence Inn Washington, DC/ Downtown",340,8.2,Entire studio•1 bathroom•1 kitchen•301 ft²1 queen bed
WSH,Hyatt House Washington DC/The Wharf,440,8.4,"3 beds (1 sofa bed, 2 queens)"
WSH,Courtyard by Marriott Washington Capitol Hill/Navy Yard,308,8.0,2 queen beds
WSH,Residence Inn by Marriott Washington - DC/Foggy Bottom,335,8.5,1 queen bed
WSH,"Homewood Suites by Hilton Washington, D.C. Downtown",384,8.1,Private suite•2 bedrooms•323 ft²2 queen beds
WSH,Hampton Inn Washington DC White House,463,8.3,2 queen beds
WSH,"Coda on Half, a Placemakr Experience - Navy Yard",319,8.8,Entire apartment•1 bedroom•1 living room•1 bathroom•409 ft²1 queen bed
WSH,Phoenix Park Hotel,390,8.7,1 queen bed
WSH,Hilton Garden Inn Washington D.C./U.S. Capitol,219,7.6,1 queen bed
DAL,Hampton Inn & Suites Dallas Market Center,194,8.3,2 queen beds
DAL,DoubleTree by Hilton Dallas Market Center,232,7.9,1 queen bed
DAL,"Holiday Inn Express - Dallas Downtown, an IHG Hotel",190,7.1,1 queen bed
DAL,Courtyard by Marriott Dallas Downtown/Reunion District,224,8.4,2 queen beds
DAL,Hilton Garden Inn Downtown Dallas,246,8.0,2 queen beds
DAL,Aloft Dallas Downtown,257,8.4,2 queen beds
DAL,Hampton Inn & Suites Dallas Downtown,218,8.3,2 queen beds
DAL,Fairfield Inn & Suites by Marriott Dallas Downtown,228,7.8,2 queen beds
DAL,"Holiday Inn Express & Suites - Dallas Park Central Northeast, an IHG Hotel",179,8.5,2 queen beds
DAL,"Hotel Indigo Dallas Downtown, an IHG Hotel",223,8.2,1 queen bed
DAL,DoubleTree by Hilton Dallas Near the Galleria,243,8.3,1 queen bed
DAL,La Quinta by Wyndham Dallas - Richardson,162,7.8,2 queen beds
DAL,"Holiday Inn Express & Suites - Dallas NW HWY - Love Field, an IHG Hotel",208,8.9,Multiple bed types
DAL,Hyatt Place Dallas Park Central,173,7.4,"3 beds (1 sofa bed, 2 queens)"
DAL,"Holiday Inn Express Hotel & Suites Dallas West, an IHG Hotel",196,8.1,2 queen beds
DAL,Hampton Inn & Suites Dallas East,181,8.4,2 queen beds
DAL,Home2 Suites By Hilton Dallas North Park,202,8.1,2 queen beds
DAL,Home2 Suites by Hilton Dallas Downtown at Baylor Scott & White,258,8.1,1 queen bed
DAL,"Home2 Suites By Hilton Dallas Medical District Lovefield, Tx",245,8.9,1 queen bed
DAL,Home2 Suites By Hilton Dallas I-30 Cockrell Hill,207,N/A,Private suite2 queen beds
DAL,Tru By Hilton Dallas Market Center,228,7.6,2 queen beds
DAL,Comfort Inn & Suites Dallas Medical-Market Center,182,7.2,2 queen beds
DAL,"Hilton Garden Inn Dallas-Central Expy/North Park Area, Tx",198,8.2,2 queen beds
DAL,Spark By Hilton Dallas Market Center,181,8.3,2 queen beds
DAL,"Hampton Inn & Suites Dallas I-30 Cockrell Hill, Tx",194,8.6,2 queen beds
NYG,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",321,7.0,Multiple bed types
NYG,The Chelsean New York,290,7.1,2 queen beds
NYG,Four Points by Sheraton New York Downtown,278,7.5,1 queen bed
NYG,"Hotel Indigo NYC Financial District, an IHG Hotel",337,8.8,2 queen beds
NYG,Sonder City Hall Park,315,8.9,Entire studio•1 bathroom•1 kitchen•441 ft²1 queen bed
